item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00089,ORD00335,PROD0195,3,428.39,8
ITEM00090,ORD00223,PROD0068,9,322.75,12
ITEM00091,ORD00261,PROD0263,6,10.79,6
ITEM00092,ORD00238,PROD0300,10,462.14,7
ITEM00093,ORD00083,PROD0109,9,487.29,17
ITEM00094,ORD00284,PROD0125,4,397.1,28
ITEM00095,ORD00383,PROD0403,10,305.69,25
ITEM00096,ORD00083,PROD0055,7,412.59,11
ITEM00097,ORD00042,PROD0257,6,433.23,21
ITEM00098,ORD00003,PROD0267,6,512.67,10
ITEM00099,ORD00382,PROD0157,6,230.43,11
ITEM00100,ORD00097,PROD0081,10,574.41,7
ITEM00101,ORD00239,PROD0075,3,264.76,25
ITEM00102,ORD00446,PROD0013,6,57.86,24
ITEM00103,ORD00227,PROD0032,6,529.24,26
ITEM00104,ORD00154,PROD0290,5,327.8,14
ITEM00105,ORD00313,PROD0432,10,588.95,24
ITEM00106,ORD00061,PROD0126,10,429.5,30
ITEM00107,ORD00437,PROD0141,3,196.68,23
ITEM00108,ORD00276,PROD0089,7,175.19,30
ITEM00109,ORD00433,PROD0334,1,346.28,14
ITEM00110,ORD00026,PROD0360,4,43.45,2
ITEM00111,ORD00352,PROD0482,7,56.51,3
ITEM00112,ORD00046,PROD0027,3,96.76,11
ITEM00113,ORD00309,PROD0144,7,16.04,9
ITEM00114,ORD00383,PROD0154,7,112.67,27
ITEM00115,ORD00444,PROD0422,5,35.87,5
ITEM00116,ORD00280,PROD0334,2,550.1,26
ITEM00117,ORD00057,PROD0253,8,286.06,22
ITEM00118,ORD00204,PROD0135,1,26.63,11
ITEM00119,ORD00299,PROD0321,7,84.74,10
ITEM00120,ORD00184,PROD0254,8,367.99,20
ITEM00121,ORD00320,PROD0468,2,139.48,4
ITEM00122,ORD00280,PROD0270,5,22.83,6
ITEM00123,ORD00430,PROD0093,3,43.87,15
ITEM00124,ORD00224,PROD0287,4,493.07,17
ITEM00125,ORD00467,PROD0218,9,586.96,0
ITEM00126,ORD00270,PROD0298,9,349.17,10
ITEM00127,ORD00359,PROD0171,6,388.89,16
ITEM00128,ORD00057,PROD0499,10,35.24,26
ITEM00129,ORD00489,PROD0436,5,379.73,14
ITEM00130,ORD00354,PROD0259,7,13.91,4
ITEM00131,ORD00485,PROD0020,5,139.01,5
ITEM00132,ORD00177,PROD0275,1,285.53,23
ITEM00133,ORD00469,PROD0372,3,562.99,7
ITEM00134,ORD00402,PROD0343,8,364.69,28
ITEM00135,ORD00395,PROD0493,7,25.79,11
ITEM00136,ORD00093,PROD0246,8,563.73,17
ITEM00137,ORD00277,PROD0369,9,93.25,24
ITEM00138,ORD00122,PROD0374,5,471.32,30
ITEM00139,ORD00028,PROD0332,9,201.77,15
ITEM00140,ORD00304,PROD0146,5,518.48,25
ITEM00141,ORD00120,PROD0487,1,336.49,24
ITEM00142,ORD00025,PROD0344,6,290.14,2
ITEM00143,ORD00296,PROD0399,4,492.85,16
ITEM00144,ORD00217,PROD0140,7,591.28,6
ITEM00145,ORD00364,PROD0076,5,598.06,22
ITEM00146,ORD00493,PROD0225,7,431.1,10
ITEM00147,ORD00198,PROD0440,4,102.57,9
ITEM00148,ORD00203,PROD0070,4,344.65,6
ITEM00149,ORD00459,PROD0387,8,117.57,7
ITEM00150,ORD00340,PROD0213,9,234.26,17
ITEM00151,ORD00236,PROD0271,7,551.32,20
ITEM00152,ORD00244,PROD0394,5,308.93,15
ITEM00153,ORD00117,PROD0266,1,461.94,27
ITEM00154,ORD00384,PROD0238,6,521.1,3
ITEM00155,ORD00055,PROD0085,7,148.41,26
ITEM00156,ORD00051,PROD0151,3,343.45,27
ITEM00157,ORD00478,PROD0414,4,368.16,5
ITEM00158,ORD00115,PROD0437,8,92.86,25
ITEM00159,ORD00393,PROD0051,5,17.66,12
ITEM00160,ORD00236,PROD0022,4,518.01,15
ITEM00161,ORD00378,PROD0278,4,164.3,26
ITEM00162,ORD00351,PROD0315,5,134.52,16
ITEM00163,ORD00046,PROD0297,1,580.13,27
ITEM00164,ORD00249,PROD0207,1,342.33,15
ITEM00165,ORD00373,PROD0426,3,576.57,30
ITEM00166,ORD00065,PROD0292,7,62.23,10
ITEM00167,ORD00458,PROD0002,6,433.95,3
ITEM00168,ORD00141,PROD0074,10,102.21,6
ITEM00169,ORD00055,PROD0225,8,25.7,19
ITEM00170,ORD00161,PROD0195,3,32.7,27
ITEM00171,ORD00046,PROD0053,8,324.23,13
ITEM00172,ORD00283,PROD0110,1,225.73,19
ITEM00173,ORD00061,PROD0229,2,568.62,3
ITEM00174,ORD00396,PROD0090,10,193.68,2
ITEM00175,ORD00210,PROD0240,4,413.12,11
ITEM00176,ORD00439,PROD0065,1,599.76,14
ITEM00177,ORD00496,PROD0350,1,545.39,1
ITEM00178,ORD00208,PROD0440,5,183.22,23
ITEM00179,ORD00154,PROD0246,3,316.95,13
ITEM00180,ORD00191,PROD0428,1,219.4,13
ITEM00181,ORD00011,PROD0293,1,20.62,1
ITEM00182,ORD00001,PROD0419,3,539.02,21
ITEM00183,ORD00343,PROD0418,6,84.59,24
ITEM00184,ORD00122,PROD0245,2,106.18,23
ITEM00185,ORD00374,PROD0373,9,299.54,23
ITEM00186,ORD00432,PROD0132,10,415.23,0
ITEM00187,ORD00057,PROD0205,7,422.77,16
ITEM00188,ORD00189,PROD0085,3,42.47,20
ITEM00189,ORD00145,PROD0253,8,42.08,7
ITEM00190,ORD00122,PROD0274,10,387.03,9
ITEM00191,ORD00483,PROD0329,4,374.6,23
ITEM00192,ORD00485,PROD0427,2,186.42,27
ITEM00193,ORD00352,PROD0276,7,580.89,23
ITEM00194,ORD00310,PROD0150,4,434.42,17
ITEM00195,ORD00106,PROD0422,2,447.88,21
ITEM00196,ORD00489,PROD0033,10,231.24,7
ITEM00197,ORD00153,PROD0034,7,100.18,4
ITEM00198,ORD00480,PROD0095,1,145.38,28
ITEM00199,ORD00358,PROD0184,4,32.95,20
ITEM00200,ORD00464,PROD0099,2,363.55,25
ITEM00201,ORD00374,PROD0055,4,489.36,21
ITEM00202,ORD00294,PROD0452,2,71.94,13
ITEM00203,ORD00201,PROD0141,4,414.51,17
ITEM00204,ORD00367,PROD0099,1,407.37,14
ITEM00205,ORD00168,PROD0392,8,64.62,3
ITEM00206,ORD00384,PROD0200,3,256.28,28
ITEM00207,ORD00248,PROD0031,10,491.9,9
ITEM00208,ORD00214,PROD0367,3,517.07,9
ITEM00209,ORD00365,PROD0246,5,367.77,17
ITEM00210,ORD00312,PROD0128,3,565.19,24
ITEM00211,ORD00003,PROD0079,5,75.85,14
ITEM00212,ORD00481,PROD0129,1,437.34,0
ITEM00213,ORD00024,PROD0385,8,47.18,13
ITEM00214,ORD00255,PROD0475,3,582.4,12
ITEM00215,ORD00433,PROD0129,1,449.58,10
ITEM00216,ORD00251,PROD0419,9,525.85,30
ITEM00217,ORD00082,PROD0383,4,209.54,6
ITEM00218,ORD00219,PROD0468,5,187.4,4
ITEM00219,ORD00459,PROD0216,7,262.78,14
ITEM00220,ORD00167,PROD0324,3,333.1,25
ITEM00221,ORD00159,PROD0234,1,385.46,29
ITEM00222,ORD00192,PROD0434,2,121.55,25
ITEM00223,ORD00243,PROD0060,2,287.51,15
ITEM00224,ORD00362,PROD0483,5,321.42,8
ITEM00225,ORD00047,PROD0337,3,69.57,4
ITEM00226,ORD00294,PROD0268,10,408.77,16
ITEM00227,ORD00075,PROD0487,7,149.93,30
ITEM00228,ORD00103,PROD0201,9,210.32,22
ITEM00229,ORD00428,PROD0089,5,250.81,29
ITEM00230,ORD00088,PROD0051,8,375.56,7
ITEM00231,ORD00106,PROD0279,8,273.1,3
ITEM00232,ORD00259,PROD0148,10,103.91,10
ITEM00233,ORD00163,PROD0172,9,476.35,24
ITEM00234,ORD00208,PROD0483,2,70.59,15
ITEM00235,ORD00173,PROD0454,8,295.89,21
ITEM00236,ORD00367,PROD0472,1,198.01,3
ITEM00237,ORD00439,PROD0142,6,127.32,22
ITEM00238,ORD00189,PROD0115,6,154.12,26
ITEM00239,ORD00183,PROD0006,10,62.42,2
ITEM00240,ORD00018,PROD0284,1,392.55,23
ITEM00241,ORD00400,PROD0250,9,490.73,22
ITEM00242,ORD00343,PROD0362,3,149.74,16
ITEM00243,ORD00263,PROD0328,4,219.93,12
ITEM00244,ORD00031,PROD0218,8,457.31,7
ITEM00245,ORD00241,PROD0358,7,281.7,10
ITEM00246,ORD00376,PROD0032,8,160.26,13
ITEM00247,ORD00352,PROD0245,10,106.73,10
ITEM00248,ORD00149,PROD0104,7,211.04,3
ITEM00249,ORD00174,PROD0383,4,476.9,29
ITEM00250,ORD00423,PROD0419,10,100.25,12
ITEM00251,ORD00077,PROD0320,4,522.87,22
ITEM00252,ORD00313,PROD0008,7,159.34,1
ITEM00253,ORD00358,PROD0328,3,552.02,30
ITEM00254,ORD00331,PROD0237,5,365.48,20
ITEM00255,ORD00466,PROD0259,4,577.15,15
ITEM00256,ORD00140,PROD0419,8,320.83,28
ITEM00257,ORD00246,PROD0223,3,550.33,7
ITEM00258,ORD00338,PROD0211,9,590.21,1
ITEM00259,ORD00254,PROD0125,2,278.81,25
ITEM00260,ORD00480,PROD0381,3,67.45,27
ITEM00261,ORD00088,PROD0079,1,497.43,29
ITEM00262,ORD00013,PROD0443,10,180.44,7
ITEM00263,ORD00365,PROD0196,10,88.07,19
ITEM00264,ORD00492,PROD0480,4,387.84,29
ITEM00265,ORD00316,PROD0013,8,443.34,22
ITEM00266,ORD00066,PROD0101,2,101.98,29
ITEM00267,ORD00311,PROD0164,8,124.23,9
ITEM00268,ORD00129,PROD0165,8,404.05,10
ITEM00269,ORD00214,PROD0339,3,93.66,22
ITEM00270,ORD00259,PROD0271,5,370.9,7
ITEM00271,ORD00125,PROD0037,7,589.4,16
ITEM00272,ORD00358,PROD0036,2,264.5,4
ITEM00273,ORD00013,PROD0040,2,90.15,11
ITEM00274,ORD00380,PROD0330,2,440.1,3
ITEM00275,ORD00219,PROD0296,6,560.7,16
ITEM00276,ORD00238,PROD0307,6,111.46,6
ITEM00277,ORD00311,PROD0117,2,372.76,13
ITEM00278,ORD00362,PROD0099,9,456.25,5
ITEM00279,ORD00461,PROD0367,9,16.1,15
ITEM00280,ORD00186,PROD0418,10,127.01,1
ITEM00281,ORD00083,PROD0290,3,355.1,5
ITEM00282,ORD00496,PROD0139,4,299.32,13
ITEM00283,ORD00458,PROD0020,1,428.0,15
ITEM00284,ORD00412,PROD0005,7,495.28,21
ITEM00285,ORD00145,PROD0162,5,541.53,24
ITEM00286,ORD00139,PROD0028,1,379.95,7
ITEM00287,ORD00093,PROD0209,2,73.26,5
ITEM00288,ORD00357,PROD0285,4,446.78,21
ITEM00289,ORD00033,PROD0495,3,293.51,4
ITEM00290,ORD00385,PROD0079,6,120.45,27
ITEM00291,ORD00117,PROD0471,9,587.86,15
ITEM00292,ORD00158,PROD0229,3,147.56,4
ITEM00293,ORD00473,PROD0126,7,236.53,12
ITEM00294,ORD00464,PROD0157,3,26.99,19
ITEM00295,ORD00261,PROD0484,3,135.14,20
ITEM00296,ORD00231,PROD0382,8,179.01,21
ITEM00297,ORD00129,PROD0259,10,124.2,28
ITEM00298,ORD00414,PROD0269,7,216.46,14
ITEM00299,ORD00116,PROD0322,9,109.19,17
ITEM00300,ORD00160,PROD0174,10,429.49,24
ITEM00301,ORD00245,PROD0370,7,488.55,26
ITEM00302,ORD00047,PROD0407,6,405.14,16
ITEM00303,ORD00200,PROD0457,1,482.6,25
ITEM00304,ORD00268,PROD0008,3,85.19,24
ITEM00305,ORD00389,PROD0231,5,111.41,14
ITEM00306,ORD00454,PROD0060,2,153.69,11
ITEM00307,ORD00124,PROD0048,2,78.9,17
ITEM00308,ORD00222,PROD0353,4,260.28,20
ITEM00309,ORD00252,PROD0102,10,96.6,15
ITEM00310,ORD00250,PROD0140,3,15.9,9
ITEM00311,ORD00201,PROD0295,3,338.38,30
ITEM00312,ORD00495,PROD0062,6,545.69,4
ITEM00313,ORD00363,PROD0095,5,220.67,29
ITEM00314,ORD00201,PROD0489,2,161.96,5
ITEM00315,ORD00450,PROD0488,8,117.52,23
ITEM00316,ORD00480,PROD0113,3,453.89,9
ITEM00317,ORD00411,PROD0182,7,235.78,16
ITEM00318,ORD00341,PROD0071,2,207.5,23
ITEM00319,ORD00068,PROD0362,5,363.9,12
ITEM00320,ORD00041,PROD0181,8,66.58,17
ITEM00321,ORD00169,PROD0480,5,449.99,28
ITEM00322,ORD00094,PROD0112,3,536.14,2
ITEM00323,ORD00006,PROD0038,10,377.2,10
ITEM00324,ORD00412,PROD0250,3,425.23,27
ITEM00325,ORD00202,PROD0021,10,400.93,13
ITEM00326,ORD00487,PROD0387,5,587.99,28
ITEM00327,ORD00135,PROD0496,7,237.13,1
ITEM00328,ORD00263,PROD0254,6,15.32,25
ITEM00329,ORD00198,PROD0133,6,447.5,12
ITEM00330,ORD00242,PROD0384,8,75.83,22
ITEM00331,ORD00262,PROD0237,8,156.2,5
ITEM00332,ORD00018,PROD0008,10,184.4,2
ITEM00333,ORD00098,PROD0235,1,244.82,9
ITEM00334,ORD00071,PROD0086,6,553.37,23
ITEM00335,ORD00051,PROD0429,8,468.79,30
ITEM00336,ORD00126,PROD0143,10,420.09,4
ITEM00337,ORD00259,PROD0488,2,81.67,16
ITEM00338,ORD00257,PROD0395,3,253.54,8
ITEM00339,ORD00010,PROD0194,7,287.24,16
ITEM00340,ORD00170,PROD0304,2,564.23,0
ITEM00341,ORD00165,PROD0425,2,43.83,27
ITEM00342,ORD00237,PROD0426,8,514.23,18
ITEM00343,ORD00427,PROD0038,7,290.83,26
ITEM00344,ORD00196,PROD0009,5,455.36,23
ITEM00345,ORD00294,PROD0164,9,201.1,1
ITEM00346,ORD00116,PROD0229,10,252.6,3
ITEM00347,ORD00304,PROD0216,10,502.6,19
ITEM00348,ORD00309,PROD0458,7,214.32,28
ITEM00349,ORD00334,PROD0354,3,231.51,2
ITEM00350,ORD00070,PROD0280,3,200.48,6
ITEM00351,ORD00292,PROD0350,8,433.6,6
ITEM00352,ORD00204,PROD0426,3,426.82,8
ITEM00353,ORD00408,PROD0264,4,149.41,29
ITEM00354,ORD00230,PROD0189,3,254.62,8
ITEM00355,ORD00382,PROD0378,7,28.65,5
ITEM00356,ORD00034,PROD0097,1,85.5,28
ITEM00357,ORD00176,PROD0192,5,568.82,7
ITEM00358,ORD00238,PROD0403,4,57.98,18
ITEM00359,ORD00282,PROD0382,10,555.89,30
ITEM00360,ORD00051,PROD0133,5,177.61,3
ITEM00361,ORD00426,PROD0331,2,89.34,2
ITEM00362,ORD00028,PROD0157,7,90.22,23
ITEM00363,ORD00483,PROD0251,8,185.01,20
ITEM00364,ORD00117,PROD0076,5,364.01,3
ITEM00365,ORD00325,PROD0082,10,385.37,28
ITEM00366,ORD00477,PROD0048,4,262.91,14
ITEM00367,ORD00237,PROD0406,6,335.11,4
ITEM00368,ORD00481,PROD0183,7,557.6,1
ITEM00369,ORD00465,PROD0494,3,272.93,27
ITEM00370,ORD00458,PROD0008,10,229.82,24
ITEM00371,ORD00424,PROD0117,1,359.62,11
ITEM00372,ORD00353,PROD0373,9,214.63,26
ITEM00373,ORD00221,PROD0250,5,290.84,27
ITEM00374,ORD00157,PROD0212,1,329.66,11
ITEM00375,ORD00034,PROD0141,1,458.3,22
ITEM00376,ORD00432,PROD0060,2,104.74,23
ITEM00377,ORD00152,PROD0283,6,340.31,30
ITEM00378,ORD00046,PROD0111,1,75.04,3
ITEM00379,ORD00289,PROD0407,9,30.03,4
ITEM00380,ORD00463,PROD0240,8,39.95,23
ITEM00381,ORD00247,PROD0380,10,545.45,16
ITEM00382,ORD00223,PROD0237,8,382.23,11
ITEM00383,ORD00140,PROD0466,6,401.93,6
ITEM00384,ORD00348,PROD0075,1,349.04,15
ITEM00385,ORD00386,PROD0437,1,501.92,29
ITEM00386,ORD00374,PROD0488,3,507.16,19
ITEM00387,ORD00012,PROD0135,1,256.2,4
ITEM00388,ORD00140,PROD0469,3,147.31,8
ITEM00389,ORD00149,PROD0010,10,445.86,20
ITEM00390,ORD00010,PROD0397,4,84.03,17
ITEM00391,ORD00007,PROD0330,9,148.55,4
ITEM00392,ORD00253,PROD0168,8,336.14,9
ITEM00393,ORD00116,PROD0375,2,226.88,0
ITEM00394,ORD00186,PROD0425,6,361.31,8
ITEM00395,ORD00313,PROD0256,9,553.66,0
ITEM00396,ORD00461,PROD0354,9,116.69,1
ITEM00397,ORD00296,PROD0196,3,288.25,28
ITEM00398,ORD00185,PROD0436,4,451.07,11
ITEM00399,ORD00187,PROD0320,7,179.18,12
ITEM00400,ORD00283,PROD0428,1,594.13,4
ITEM00401,ORD00166,PROD0089,3,367.44,3
ITEM00402,ORD00134,PROD0033,1,539.35,22
ITEM00403,ORD00187,PROD0289,9,190.16,23
ITEM00404,ORD00253,PROD0331,7,174.46,26
ITEM00405,ORD00155,PROD0300,4,597.46,3
ITEM00406,ORD00432,PROD0294,7,282.72,14
ITEM00407,ORD00454,PROD0096,2,18.12,14
ITEM00408,ORD00201,PROD0063,1,469.96,0
ITEM00409,ORD00185,PROD0131,6,485.42,0
ITEM00410,ORD00124,PROD0344,4,580.05,0
ITEM00411,ORD00255,PROD0283,2,166.52,18
ITEM00412,ORD00335,PROD0371,2,47.56,29
ITEM00413,ORD00145,PROD0364,9,15.12,14
ITEM00414,ORD00276,PROD0187,6,541.56,7
ITEM00415,ORD00033,PROD0438,7,320.14,1
ITEM00416,ORD00197,PROD0241,5,391.13,24
ITEM00417,ORD00251,PROD0374,8,197.18,22
ITEM00418,ORD00005,PROD0314,8,400.38,29
ITEM00419,ORD00013,PROD0042,9,119.04,15
ITEM00420,ORD00333,PROD0040,2,79.31,14
ITEM00421,ORD00066,PROD0424,1,365.11,11
ITEM00422,ORD00242,PROD0054,7,596.11,22
ITEM00423,ORD00077,PROD0499,3,214.4,12
ITEM00424,ORD00091,PROD0121,5,469.19,7
ITEM00425,ORD00362,PROD0253,1,531.77,17
ITEM00426,ORD00016,PROD0005,3,92.29,29
ITEM00427,ORD00151,PROD0101,2,315.96,28
ITEM00428,ORD00005,PROD0252,9,453.09,0
ITEM00429,ORD00147,PROD0115,1,93.67,16
ITEM00430,ORD00208,PROD0100,6,45.04,6
ITEM00431,ORD00420,PROD0354,10,167.91,16
ITEM00432,ORD00441,PROD0271,9,380.48,26
ITEM00433,ORD00239,PROD0088,4,499.22,3
ITEM00434,ORD00478,PROD0105,10,451.81,18
ITEM00435,ORD00123,PROD0241,10,381.59,10
ITEM00436,ORD00178,PROD0457,3,218.85,17
ITEM00437,ORD00085,PROD0372,5,518.37,14
ITEM00438,ORD00233,PROD0131,9,99.9,23
ITEM00439,ORD00453,PROD0342,1,467.71,3
ITEM00440,ORD00391,PROD0273,7,412.48,5
ITEM00441,ORD00289,PROD0049,1,177.36,28
ITEM00442,ORD00034,PROD0395,10,215.54,15
ITEM00443,ORD00067,PROD0004,1,297.49,17
ITEM00444,ORD00298,PROD0149,4,569.42,19
ITEM00445,ORD00425,PROD0070,8,472.37,6
ITEM00446,ORD00493,PROD0276,6,494.5,24
ITEM00447,ORD00042,PROD0340,9,343.81,12
ITEM00448,ORD00080,PROD0370,6,353.64,29
ITEM00449,ORD00253,PROD0091,2,361.83,6
ITEM00450,ORD00451,PROD0012,6,173.36,19
ITEM00451,ORD00168,PROD0455,1,598.69,15
ITEM00452,ORD00026,PROD0489,3,118.82,14
ITEM00453,ORD00063,PROD0414,3,266.61,8
ITEM00454,ORD00299,PROD0051,6,124.61,16
ITEM00455,ORD00094,PROD0431,8,122.67,11
ITEM00456,ORD00340,PROD0272,4,345.22,28
ITEM00457,ORD00474,PROD0020,2,195.87,13
ITEM00458,ORD00434,PROD0121,1,288.73,25
ITEM00459,ORD00095,PROD0220,9,561.06,4
ITEM00460,ORD00326,PROD0425,10,253.64,28
ITEM00461,ORD00492,PROD0158,5,292.16,0
ITEM00462,ORD00008,PROD0325,1,203.37,25
ITEM00463,ORD00060,PROD0025,6,515.63,27
ITEM00464,ORD00427,PROD0478,9,293.0,28
ITEM00465,ORD00265,PROD0004,7,333.95,21
ITEM00466,ORD00095,PROD0500,3,20.7,27
ITEM00467,ORD00131,PROD0184,2,274.31,17
ITEM00468,ORD00365,PROD0291,2,346.61,6
ITEM00469,ORD00034,PROD0419,7,294.54,23
ITEM00470,ORD00372,PROD0203,8,318.01,29
ITEM00471,ORD00239,PROD0130,4,428.56,16
ITEM00472,ORD00292,PROD0159,2,228.64,25
ITEM00473,ORD00199,PROD0440,5,517.02,3
ITEM00474,ORD00356,PROD0033,5,436.2,27
ITEM00475,ORD00260,PROD0041,4,147.41,12
ITEM00476,ORD00298,PROD0148,6,107.16,16
ITEM00477,ORD00452,PROD0038,8,282.81,22
ITEM00478,ORD00148,PROD0242,1,359.7,10
ITEM00479,ORD00031,PROD0142,5,130.87,26
ITEM00480,ORD00430,PROD0096,8,528.24,26
ITEM00481,ORD00340,PROD0158,8,529.42,26
ITEM00482,ORD00316,PROD0407,2,355.26,2
ITEM00483,ORD00016,PROD0319,9,241.96,5
ITEM00484,ORD00211,PROD0197,10,380.67,18
ITEM00485,ORD00496,PROD0311,5,479.84,13
ITEM00486,ORD00377,PROD0358,1,234.68,21
ITEM00487,ORD00413,PROD0423,3,388.88,20
ITEM00488,ORD00061,PROD0170,2,597.65,29
ITEM00489,ORD00004,PROD0301,9,227.14,4
ITEM00490,ORD00115,PROD0491,4,345.72,25
ITEM00491,ORD00060,PROD0462,3,191.12,8
ITEM00492,ORD00111,PROD0093,3,254.61,13
ITEM00493,ORD00332,PROD0312,10,578.89,12
ITEM00494,ORD00086,PROD0112,7,60.84,0
ITEM00495,ORD00085,PROD0450,5,33.59,22
ITEM00496,ORD00189,PROD0434,5,403.46,13
ITEM00497,ORD00293,PROD0163,1,401.16,21
ITEM00498,ORD00437,PROD0401,1,311.98,1
ITEM00499,ORD00467,PROD0453,9,381.37,3
ITEM00500,ORD00436,PROD0216,1,524.4,12
